accession,gene,length,protein_name
P27797,CALR,417,Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)
P27815,PDE4A,886,"3',5'-cyclic-AMP phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46) (cAMP-specific phosphodiesterase 4A)"
P27816,MAP4,1152,Microtubule-associated protein 4 (MAP-4)
P27824,CANX,592,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)
P27918,CFP,469,Properdin (Complement factor P)
P27930,IL1R2,398,"Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (CDw121b) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]"
P27986,PIK3R1,724,Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)
P27987,ITPKB,946,"Inositol-trisphosphate 3-kinase B (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase B) (IP3 3-kinase B) (IP3K B) (InsP 3-kinase B)"
P28039,AOAH,575,Acyloxyacyl hydrolase (EC 3.1.1.77) [Cleaved into: Acyloxyacyl hydrolase small subunit; Acyloxyacyl hydrolase large subunit]
P28062,PSMB8,276,Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)
P28065,PSMB9,219,Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)
P28066,PSMA5,241,Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5) (alpha-5) (Proteasome zeta chain)
P28067,HLA-DMA,261,"HLA class II histocompatibility antigen, DM alpha chain (MHC class II antigen DMA) (Really interesting new gene 6 protein)"
P28068,HLA-DMB,263,"HLA class II histocompatibility antigen, DM beta chain (MHC class II antigen DMB) (Really interesting new gene 7 protein)"
P28069,POU1F1,291,Pituitary-specific positive transcription factor 1 (PIT-1) (Growth hormone factor 1) (GHF-1)
P28070,PSMB4,264,Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3) (Proteasome subunit beta-7) (beta-7)
P28072,PSMB6,239,Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y) (Proteasome subunit beta-1) (beta-1)
P28074,PSMB5,263,Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X) (Proteasome subunit beta-5) (beta-5)
P28161,GSTM2,218,Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2)
P28221,HTR1D,377,5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)
P28222,HTR1B,390,5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)
P28223,HTR2A,471,5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)
P28288,ABCD3,659,ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (70 kDa peroxisomal membrane protein) (PMP70)
P28289,TMOD1,359,Tropomodulin-1 (Erythrocyte tropomodulin) (E-Tmod)
P28290,ITPRID2,1259,Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)
P28300,LOX,417,"Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]"
P28324,ELK4,431,ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)
P28325,CST5,142,Cystatin-D (Cystatin-5)
P28328,PEX2,305,Peroxisome biogenesis factor 2 (EC 2.3.2.27) (EC 2.3.2.36) (35 kDa peroxisomal membrane protein) (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1) (RING finger protein 72)
P28329,CHAT,748,Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)
P28330,ACADL,430,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8) (Medium-chain acyl-CoA dehydrogenase, mitochondrial) (EC 1.3.8.7)"
P28331,NDUFS1,727,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)"
P28332,ADH6,368,Alcohol dehydrogenase 6 (EC 1.1.1.1)
P28335,HTR2C,458,5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)
P28336,NMBR,390,Neuromedin-B receptor (NMB-R) (Epididymis tissue protein Li 185a) (Neuromedin-B-preferring bombesin receptor)
P28340,POLD1,1107,DNA polymerase delta catalytic subunit (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase subunit delta p125)
P28347,TEAD1,426,Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13)
P28356,HOXD9,352,Homeobox protein Hox-D9 (Homeobox protein Hox-4C) (Homeobox protein Hox-5.2)
P28358,HOXD10,340,Homeobox protein Hox-D10 (Homeobox protein Hox-4D) (Homeobox protein Hox-4E)
P28360,MSX1,303,Homeobox protein MSX-1 (Homeobox protein Hox-7) (Msh homeobox 1-like protein)
P28370,SMARCA1,1042,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 (SMARCA1) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A1) (EC 3.6.4.-) (Global transcription activator SNF2L1) (Nucleosome-remodeling factor subunit SNF2L) (SNF2L) (SNF2 related chromatin remodeling ATPase 1)
P28472,GABRB3,473,Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3)
P28476,GABRR2,465,Gamma-aminobutyric acid receptor subunit rho-2 (GABA(A) receptor subunit rho-2) (GABAAR subunit rho-2) (GABA(C) receptor)
P28482,MAPK1,360,Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)
P28562,DUSP1,367,Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100)
P28566,HTR1E,365,5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)
P28676,GCA,217,Grancalcin
P28698,MZF1,734,Myeloid zinc finger 1 (MZF-1) (Zinc finger and SCAN domain-containing protein 6) (Zinc finger protein 42)
P28702,RXRB,533,Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)
P28715,ERCC5,1186,DNA excision repair protein ERCC-5 (EC 3.1.-.-) (DNA repair protein complementing XP-G cells) (XPG) (Xeroderma pigmentosum group G-complementing protein)
P28749,RBL1,1068,Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1)
P28799,GRN,593,Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]
P28827,PTPRM,1452,Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)
P28838,LAP3,519,Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)
P28845,HSD11B1,292,11-beta-hydroxysteroid dehydrogenase 1 (11-DH) (11-beta-HSD1) (EC 1.1.1.146) (7-oxosteroid reductase) (EC 1.1.1.201) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (Short chain dehydrogenase/reductase family 26C member 1)
P28906,CD34,385,Hematopoietic progenitor cell antigen CD34 (CD antigen CD34)
P28907,CD38,300,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (T10) (CD antigen CD38)
P28908,TNFRSF8,595,Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30)
P29016,CD1B,333,T-cell surface glycoprotein CD1b (CD antigen CD1b)
P29017,CD1C,333,T-cell surface glycoprotein CD1c (CD antigen CD1c)
P29033,GJB2,226,Gap junction beta-2 protein (Connexin-26) (Cx26)
P29034,S100A2,98,Protein S100-A2 (CAN19) (Protein S-100L) (S100 calcium-binding protein A2)
P29074,PTPN4,926,Tyrosine-protein phosphatase non-receptor type 4 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG1) (MEG) (PTPase-MEG1)
P29083,GTF2E1,439,General transcription factor IIE subunit 1 (General transcription factor IIE 56 kDa subunit) (Transcription initiation factor IIE subunit alpha) (TFIIE-alpha)
P29084,GTF2E2,291,Transcription initiation factor IIE subunit beta (TFIIE-beta) (General transcription factor IIE subunit 2)
P29120,PCSK1,753,Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)
P29122,PCSK6,969,Proprotein convertase subtilisin/kexin type 6 (EC 3.4.21.-) (Paired basic amino acid cleaving enzyme 4) (Subtilisin-like proprotein convertase 4) (SPC4) (Subtilisin/kexin-like protease PACE4)
P29144,TPP2,1249,Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)
P29218,IMPA1,277,Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
P29274,ADORA2A,412,Adenosine receptor A2a
P29275,ADORA2B,332,Adenosine receptor A2b
P29279,CCN2,349,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8)
P29317,EPHA2,976,Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)
P29320,EPHA3,983,Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)
P29322,EPHA8,1005,Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)
P29323,EPHB2,1055,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]
P29350,PTPN6,595,Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1)
P29353,SHC1,583,SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)
P29371,TACR3,465,Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3)
P29372,MPG,298,DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)
P29373,CRABP2,138,Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II)
P29374,ARID4A,1257,AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1) (RBBP-1)
P29375,KDM5A,1690,Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A)
P29376,LTK,864,Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1)
P29400,COL4A5,1685,Collagen alpha-5(IV) chain
P29401,TKT,623,Transketolase (TK) (EC 2.2.1.1)
P29459,IL12A,219,Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1)
P29460,IL12B,328,Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40) (NK cell stimulatory factor chain 2) (NKSF2)
P29466,CASP1,404,Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]
P29474,NOS3,1203,"Nitric oxide synthase 3 (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (NOS type III) (NOSIII) (Nitric oxide synthase, endothelial) (Endothelial NOS) (eNOS)"
P29475,NOS1,1434,"Nitric oxide synthase 1 (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Nitric oxide synthase, brain) (bNOS) (Peptidyl-cysteine S-nitrosylase NOS1)"
P29508,SERPINB3,390,Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1) (SCCA-1)
P29536,LMOD1,600,"Leiomodin-1 (64 kDa autoantigen 1D) (64 kDa autoantigen 1D3) (64 kDa autoantigen D1) (Leiomodin, muscle form) (Smooth muscle leiomodin) (SM-Lmod) (Thyroid-associated ophthalmopathy autoantigen)"
P29558,RBMS1,406,"RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1) (Suppressor of CDC2 with RNA-binding motif 2)"
P29590,PML,882,Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19)
P29597,TYK2,1187,Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)
P29622,SERPINA4,427,Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4) (PI-4) (Serpin A4)
P29692,EEF1D,281,Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)
P29728,OAS2,719,2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84) (p69 OAS / p71 OAS) (p69OAS / p71OAS)
P29803,PDHA2,388,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial (EC 1.2.4.1) (PDHE1-A type II)"
P29965,CD40LG,261,"CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form (sCD40L)]"
P29966,MARCKS,332,"Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)"
P29972,AQP1,269,Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Channel-like integral membrane protein of 28 kDa) (Urine water channel)
P29973,CNGA1,686,"Cyclic nucleotide-gated channel alpha-1 (CNG channel alpha-1) (CNG-1) (CNG1) (Cyclic nucleotide-gated channel, photoreceptor) (Rod photoreceptor cGMP-gated cation channel subunit alpha) (cGMP-gated cation channel alpha-1)"
P29992,GNA11,359,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (EC 3.6.5.-) (Guanine nucleotide-binding protein G(y) subunit alpha)
P30038,ALDH4A1,563,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)"
P30039,PBLD,288,Phenazine biosynthesis-like domain-containing protein (MAWD-binding protein) (MAWDBP) (Unknown protein 32 from 2D-page of liver tissue)
P30040,ERP29,261,Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28) (ERp28) (Endoplasmic reticulum resident protein 31) (ERp31)
P30041,PRDX6,224,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Liver 2D page spot 40) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12)
P30043,BLVRB,206,Flavin reductase (NADPH) (FR) (EC 1.5.1.30) (Biliverdin reductase B) (BVR-B) (EC 1.3.1.-) (Biliverdin-IX beta-reductase) (Green heme-binding protein) (GHBP) (NADPH-dependent diaphorase) (NADPH-flavin reductase) (FLR) (S-nitroso-CoA-assisted nitrosyltransferase) (SNO-CoA-assisted nitrosyltransferase) (EC 2.6.99.-)
P30044,PRDX5,214,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)"
P30046,DDT,118,D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase) (Phenylpyruvate tautomerase II)
P30047,GCHFR,84,GTP cyclohydrolase 1 feedback regulatory protein (GFRP) (GTP cyclohydrolase I feedback regulatory protein) (p35)
P30048,PRDX3,256,"Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.24) (Antioxidant protein 1) (AOP-1) (HBC189) (Peroxiredoxin III) (Prx-III) (Peroxiredoxin-3) (Protein MER5 homolog) (Thioredoxin-dependent peroxiredoxin 3)"
P30049,ATP5F1D,168,"ATP synthase F(1) complex subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)"
P30050,RPL12,165,Large ribosomal subunit protein uL11 (60S ribosomal protein L12)
P30084,ECHS1,290,"Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)"
P30085,CMPK1,196,UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)
P30086,PEBP1,187,Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]
P30101,PDIA3,505,Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)
P30153,PPP2R1A,589,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2Aa) (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)
P30154,PPP2R1B,601,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta)
P30203,CD6,668,T-cell differentiation antigen CD6 (T12) (TP120) (CD antigen CD6) [Cleaved into: Soluble CD6]
P30260,CDC27,824,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)
P30273,FCER1G,86,High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)
P30279,CCND2,289,G1/S-specific cyclin-D2
P30281,CCND3,292,G1/S-specific cyclin-D3
P30291,WEE1,646,Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)
P30301,MIP,263,Lens fiber major intrinsic protein (Aquaporin-0) (MIP26) (MP26)
P30304,CDC25A,524,M-phase inducer phosphatase 1 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25A)
P30305,CDC25B,580,M-phase inducer phosphatase 2 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25B)
P30307,CDC25C,473,M-phase inducer phosphatase 3 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25C)
P30405,PPIF,207,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)"
P30411,BDKRB2,391,B2 bradykinin receptor (B2R) (BK-2 receptor)
P30414,NKTR,1462,NK-tumor recognition protein (NK-TR protein) (Natural-killer cells cyclophilin-related protein) (Peptidyl-prolyl cis-trans isomerase NKTR) (PPIase) (EC 5.2.1.8) (Rotamase)
P30419,NMT1,496,Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (HsNMT1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1) (Protein-lysine myristoyltransferase NMT1) (EC 2.3.1.-)
P30511,HLA-F,346,"HLA class I histocompatibility antigen, alpha chain F (CDA12) (HLA F antigen) (Leukocyte antigen F) (MHC class I antigen F)"
P30518,AVPR2,371,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)
P30519,HMOX2,316,Heme oxygenase 2 (HO-2) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 2 soluble form]
P30520,ADSS2,456,"Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)"
P30530,AXL,894,Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)
P30531,SLC6A1,599,Sodium- and chloride-dependent GABA transporter 1 (GAT-1) (Solute carrier family 6 member 1)
P30532,CHRNA5,468,Neuronal acetylcholine receptor subunit alpha-5
P30533,LRPAP1,357,Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP)
P30536,TSPO,169,Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)
P30542,ADORA1,326,Adenosine receptor A1
P30550,GRPR,384,Gastrin-releasing peptide receptor (GRP-R) (GRP-preferring bombesin receptor)
P30556,AGTR1,359,Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor)
P30559,OXTR,389,Oxytocin receptor (OT-R)
P30566,ADSL,484,Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)
P30613,PKLR,574,Pyruvate kinase PKLR (EC 2.7.1.40) (Pyruvate kinase 1) (Pyruvate kinase isozymes L/R) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase)
P30622,CLIP1,1438,CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)
P30626,SRI,198,Sorcin (22 kDa protein) (CP-22) (CP22) (V19)
P30679,GNA15,374,Guanine nucleotide-binding protein subunit alpha-15 (G alpha-15) (G-protein subunit alpha-15) (Epididymis tissue protein Li 17E) (Guanine nucleotide-binding protein subunit alpha-16) (G alpha-16) (G-protein subunit alpha-16)
P30711,GSTT1,240,Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1) (Glutathione transferase T1-1)
P30740,SERPINB1,379,Leukocyte elastase inhibitor (LEI) (Monocyte/neutrophil elastase inhibitor) (EI) (M/NEI) (Peptidase inhibitor 2) (PI-2) (Serpin B1)
P30793,GCH1,250,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)
